Company Name,Location,Email,Products
ABC Corp,"New York, USA",contact@abccorp.com,Electronics
XYZ Ltd,"London, UK",info@xyzltd.co.uk,Home Appliances
DEF Inc,"Mumbai, India",hello@definc.com,Health Products
GHI GmbH,"Berlin, Germany",contact@ghigmbh.de,Automotive
LMN Tech,"Paris, France",sales@lmntech.com,Software Solutions
PQR Solutions,"Toronto, Canada",support@pqsolutions.com,Consulting Services
STU Enterprises,"Sydney, Australia",info@stuenterprises.com,Retail
VWX Industries,Singapore,contact@vwxindustries.com,Manufacturing
YZA Ltd,"Tokyo, Japan",marketing@yza.com,E-commerce
BCD Corp,"Cape Town, South Africa",info@bcdcorp.com,Technology
